artist_id	artist_name	is_in_US_Canada	location
ARQHBH81187B98C195	Aline Barros	False	Rio de Janeiro
ARMVABD1187B9AB892	Iomos Marad	True	Chicago, IL
AR9DCB31187B9ACDF2	Sarah Fimm	True	New York City, New York
ARVKQ0C1187FB3FF78	Hockey Night	True	Saint Paul, MN
AR1PD2W1187B9985D3	Copycat	False	Distrito Federal
ARZVEF91187B9AC770	Elliot Goldenthal	True	New York, NY
ARLX0G01187FB4FD00	No Name	True	Tennessee
ARX2F7M1187B9A5563	Maná	True	NY - New York City
ARYEHSM11F4C8445F3	Killa Cam	True	Texas
AROX1HT1187FB39BCA	Bearman	True	Kansas City
ARMBASL1187B99107C	Union 13	True	Los Angeles, CA
AR0E92U1187B9A4709	Lorenzo	True	Havana, FL
AR6S0FJ1187FB52D75	Cheryl Lynn	True	Los Angeles, CA
AR7RE2I1187B99051D	Shaft	True	Colorado
ARKUAXS11F4C841DEB	Jazz Addixx	True	Washington DC
ARDJL6E1187FB56781	KK NULL	False	Tokyo, Japan
ARJVLMF1241B9C97C2	Original London Cast	False	Great Britain / UK
ARGTS611187FB3893D	Chris Fortier	True	Orlando, FL
AR4QE1O1187FB3B197	Andre Nickatina	True	WOODLAND, California
ARTVY0Q1187B99F36A	Wet Willie	True	Mobile, AL
ARM7UY51187B993E17	Eddie Palmieri	True	New York, NY
ARWUK9L11C8A42C37B	Workhorse	True	Mississippi
AR84VIG1187B98F666	Nappy Roots	True	Bowling Green, KY
AR38S7X1187B994528	Presence	True	Florida
ARK8EHO1187B9B71D1	Shamen	False	Aberdeen, Scotland
AR74U8W1187FB38AE0	Channel 3	True	USA
ARIRQGA1187B99D9FF	65daysofstatic	False	Sheffield, England
AR25AKF1187FB50294	Serebro	True	Chicago, IL
ARD4LQ61187FB470F1	Little Willie John	True	Cullendale, AR
ARLJQ4M1187B9AD581	Jon Anderson	False	Accrington, Lancashire, England
ARM9D241187FB4DB7D	Marygold	False	Verona - Italy
ARLY3RZ1187B9A6E24	Instrumental	True	Hawaii
AR9DXJ71187B99BC5E	Elf Power	True	Athens, GA
ARHUU5P1187B98AFC3	Elvis Costello & The Imposters	False	London, England
ARJCS5S1187B9909B7	Gary Stewart	True	Letcher County, KY
AR5QO1Q1187B99580B	Bandits of the Acoustic Revolution	True	New Jersey
ARALP6I1187B989E27	The Shirelles	True	Passaic, NJ
ARMW18X1187FB488FC	D.V.S.	True	Dade County G, Florida
AR2CZWK1187FB3E23A	Loleatta Holloway	True	Chicago, IL
AR9E1IQ1187B990118	Ricochet	True	Glace Bay, N.S.
AR5XH9J1187FB43F6C	Evelyn "Champagne" King	True	New York, NY [The Bronx]
ARYNFKJ1187B9A5442	Bangboy vs. Hansebanger	True	Mass. - Boston
ARAQJZS1187B9B55E9	Pan	True	NY - New York City
AR2D9L91187B989522	Pru	True	Houston, TX
ARRP4SJ11C8A414CFA	From Dying Skies	False	Lille, France
AR1AEWG11C8A4156AD	Frankmusik	False	Thornton Heath, London
AR14QNC1187FB4C7F7	Edwin Starr	True	Nashville, TN
ARRK51R1187B98C228	Rose Cousins	True	CANADA - Nova Scotia
ARQTWQP1187FB5A3FB	Will Downing	True	New York, NY
ARQSIBK11F4C83E4B8	Untouchables	True	Florida
ARAK7J41187B98E720	Jill Jones Vs. Funky Junction	True	New York
ARM7NHH1187FB38459	Jamie Principal	True	Chicago, IL
AROBI4X1187B99550D	Ed Bruce	True	Keiser, AR
AR94XUG1187FB3B878	The Glass	True	New York, NY
ARX5A8J1187B9A7C7B	Countach	True	Minnesota
ARFKHWU1187B9B414E	Point Line Plane	True	Portland, OR
ARHRE9G1187B9B1412	Matt Monro	False	London, England
ARIQ7ZV1187B9916C6	Loop Guru	False	London, England
AR6O1H31187FB5437B	Blackbone	True	Tennessee
ARVYHKR11F50C4F323	Bill Streett	True	California - SF
AR0XBGZ1187B98D263	Nora Dean	True	NY - New York City
ARW6HB71187FB4CF42	Amorphous Androgynous	False	London, England
ARXAXVV1187B9AE099	Ringo Starr	False	Liverpool, UK
ARMZSTW1187B99DC0D	Jericho	True	Toronto, Ontario, Canada
ARV86QJ1187B992535	Micha Moor	True	Washington
AR45JIH1187FB40A7F	Najat Aâtabou	False	Khemmiset, Morocco
ARFGNZB1187B9B8848	Mestizo	True	Colorado
ARMLMBE1187B997AE0	Perle Lama/krys	True	Fort-de-France, Martinique
AR2EM731187B991455	Wojciech Kilar	False	Lw�Ukraine
ARB97861187B9ABBA7	Dave Holland_ Chris Potter_ Robin Eubanks_ Steve Nelson_ Billy Kilson	False	Wolverhampton, W. Midlands, Engla
ARULUK81187FB56ECB	Cornelius Brothers & Sister Rose	True	Dania, FL
AR6CKW31187B9B3D69	Uncle Tupelo	True	Belleville, IL
ARHRDTO122988EFC4A	The Survival Crew	True	NY - Long Island
ARQT8QM1187FB3E3CB	The Bats	False	Cambridge, New Zealand
AR1OVX71187FB4F1D9	Adam Freeland	False	Welwyn Garden City, England
ARIGFIZ1187FB4D6BA	Bad Manners	False	UK
ARAKX8D1187B98CCE2	Bob Cheevers	True	Tennessee
AR4ILOK1187FB483AB	Vast Aire Feat. Karniege_ Breez Evahflowin_ Poison Pen & Aesop Rock	True	New York, NY [Mount Vernon]
ARWRPB51187B994396	Because of Ghosts	False	Melbourne
ARM8CDF1187B990E2A	Toilet Boys	True	New York City
AR1BZED1187FB4CDEE	Wendy Moten	True	Memphis, TN
ARBC4CV1187B9A7823	Lifetime	True	New Jersey
ARI5QV71187FB4C168	Abstract Tribe Unique	True	Los Angeles, CA
ARZQ16S1187B9AC5F3	LOC	True	Louisiana
ARGE4J31187B9B41EE	Sofia Karlsson	False	Sweden
AROHLU21187B98C4A9	Stacy Sullivan	True	California - LA
ARTWSR21187FB4CA30	The Zips	False	UK - Scotland
ARU4T2N1187B9AA41F	Ever We Fall	True	Portland, OR
ARH5CVB1187FB5A1B3	Atlanta Rhythm Section	True	Doraville, GA
AR2MRQ51187B9A83AB	The Chinese Stars	True	Providence RI
AR91EDW1187B9AA390	Stiv Bators	True	Cleveland, OH
ARZWAHK119B8668273	Martriden	True	Havre, MT
ARTX57T1187B98F34B	Mikey General	True	Jamaica
ARH7RSF1187B98C57C	Mandy Barnett	True	Crossville, TN
AREF3BM1187FB4D1E3	Allister	True	Chicago, IL
ARSP62A1187FB3BD00	George Thorogood & The Destroyers	True	Wilmington, DE
ARWGMN71187B992DBB	Rondellus	False	Estonia
AR9827H1187B99B526	Donnie Fritts	True	Alabama
ARKFC2X1187B9A03DC	Japanther	True	Brooklyn, NY
ARM4J201187B9B8B3B	Gustavo Santaolalla	False	Buenos Aires, Argentina
AR3B0S21187FB5C5FD	They Live By Night	False	Cologne, Germany
ARBPRTL11F4C83CB05	The Oak Ridge Boys	True	Hendersonville, TN
ARYIBQB1187B9B5AA4	Double A	True	Texas
ARVQ4T81187B9BA16F	Innerzone Orchestra	True	Detroit, MI
ARXUEEH122988F26F1	CASH MATTOCK	True	New York
ARXHK551187B9ABC46	Project Skyward	True	NY - New York City
ARCWZP81187FB40E42	Hillstomp	True	Portland, OR
AR9SU0S1187FB53D0F	Easy Star All-Stars Featuring MC Trouble	True	California
ARVVRB51187FB4D305	Alastair Galbraith	False	New Zealand
ARFQFJD1187B9B0554	Memphis Slim	True	Memphis, TN
ARNHTSK1187FB4E8EC	Rare Bird	False	England
AROQDRN1187FB48C19	Sly & Robbie / Amp Fiddler	True	nogales
ARQ3IB01187B9A3809	The Umbrella Sequence	True	Minnesota
ARH6XJQ1187B989438	Jerry Vale	True	New York, NY [The Bronx]
ARD3AND1187B9A25D4	The Winstons	True	Buffalo, NY
AR5M35O1187B9A0D74	SOL	True	Los Angeles California USA
ARQOH9U1187FB3B99B	Cex	True	Maryland
ARKLV1G1187B989FE9	Akcent	False	Romania
AR96FXP1187B99FA3C	Cheb Balowski	True	California - LA
ARRHLSD11F4C845076	Freddie Roulette	True	Illinois
ARSE6831187B9AEAFE	Barbara Mandrell	True	Houston, TX
ARBNNJK1187FB3D35A	Soul Retrieval	True	Dallas, TX
ARVGUIF1187FB3DFF2	WC	True	South Central Los Angeles, California
AR8AQ8F1187B9B4AD8	Nomo	True	Ann Arbor, MI
ARFZ7AY1187B9A7C7D	nedelle	True	Vacaville, CA
ARAGPHI1187FB38B87	Machine Go Boom	True	Cleveland, OH
AR52BVY1187B98F53A	Mouse	True	NY - New York City
ARY06FP1187B9AFD16	Hank Ballard & The Midnighters	True	Austin, Texas
ARQ1SW91187B9AEE19	Scream Club	False	GERMANY
ARLLRL61187B9B6698	The Sonics	True	Tacoma, WA
ARHW5KC1187B9A6D32	Jordan Hill	True	Texas
AR71EUN1187B98C7D3	Aquasky & Meat Katie w/ Lucky Cat	False	Bournemouth, Dorset, England
ARFUB691187B98E820	Jazz Liberatorz	True	Meauxtown
AR0Y5K31187FB383D3	Frankie Lymon & The Teenagers_ Lymon_ Levy	True	Harlem, NY
ARO3HFY1187FB4CB54	Toubab Krewe	True	North Carolina
ARWO5L31187FB432C2	Orquesta Harlow	True	Brooklyn, NY
AR4OW681187FB3EC84	Duke Pearson	True	Atlanta, GA
ARLFXCE1187FB5B94C	Oddisee	True	San Francisco, CA
AR2TJWH1187B9973CA	Common Factor	True	Illinois
ARFBBL21187B99E5AF	Vicious Rumors	True	Alameda, CA
ARF88UQ1187FB5A3E9	Jay Tee	True	California - SF
ARMVDCH1187B9A3543	William S. Burroughs	True	St. Louis, Missouri
AR2TRQV1187FB37449	Spy Versus Spy	False	UK
AR6OQVR11C8A42CA37	Kamchatka	False	SWEDEN
ARKSLHB122ECCB8198	Emii	True	NY - New York City
AR3Q0S21187FB3F919	Cheech & Chong	True	USA
ARYD3GD1187FB38B08	Mose Allison	True	Tippo, MS
ARXBPB91187FB444F0	Mike Dearborn	True	Chicago, IL
ARZTBN31187B98BC4B	One Reason	True	Cincinnati
ARLE7141187B9B7EA4	The Barbarians	False	BARBERÀ DEL VALLÉS
ARNOER21187FB4D352	James Murray	False	Lymington
ARBJI5N1187FB400D0	Jay & The Americans	True	New York, NY
AR9ZPOA1187FB3AFE1	Helalyn Flowers	False	ITALY
ARBZX3K1187FB3F5FC	Jamie O'Neal	False	Sydney, New South Wales, Australi
ARMHDEZ1187FB43997	The Manhattans	True	Jersey City, NJ
ARHDBRU1187FB4DA8F	Wally Badarou	False	Paris, France
AR8OE131187B99E794	Steve Young	True	Newnan, GA
AR35E9F1187B9B4877	John Prine	True	Maywood, IL
ARXGWZP11F4C83C075	Leon Lai	False	London, England
ARVFEPG122988F83AE	Leonard Bernstein	True	Michigan
ARCFQWM1187B9B88C7	David Lee Roth	True	Bloomington, IN
AR8SBT41187B9A5FD9	Total Fucking Destruction	True	Pennsylvania
AR85OGH1187B9A95D6	Kelly Marie	False	GERMANY
ARKLEYX1187B99AA4A	Haydamaky	False	Ukraine
ARG0X1S1187B9908F6	Spragga Benz	True	Jamaica
ARG1QGH1187FB53225	Bissen	True	Phoenix, AZ
AR2GBBO1187B99089B	Nest	True	San Juan, Puerto Rico
ARWENA51187B9A6A3E	Charlotte Church	True	STOCKTON, California
ARSLKNR1187B99C985	The Tamlins	True	Illinois USA
ARAXTRL1187FB3F424	Crooked Still	True	Boston, Massachusetts
ARQ6AQD1187FB5087E	Bobby Short	True	Danville, IL
ARF6CEI1187B9A0579	Full Scale	False	Perth, Australia
AR43PJU1187B9B3FCB	Quincy Conserve	False	Israel
ARS8KBY1187FB4BC7E	Kurupt	True	Philadelphia, PA
ARJ56D11187B9B3846	Parliament	True	Detroit, MI
ARRSDCX11E8F5C060B	Cassandre McKinley	True	Mass. - Boston
ARZHYI01187FB3B790	Tommy Shaw	True	Montgomery, AL
ARH1EAK1187FB434F3	Cerberus Shoal	True	Portland, ME
ARR173X1187FB4C88B	Sean Ensign	True	Florida
ARYFJVX1241B9C51BD	Calvertron	False	Cardiff
ARLZ0XR1187FB43119	Big Sugar	True	CANADA - Ontario
ARU7OXK1187B9AA7A4	Think Twice	True	Massachusetts
ARLL3WH1187FB5CAA0	OFFTHESKY	True	Kentucky
ARCR1TK1187FB4C78A	Glenn Lewis	True	Toronto, Ontario, Canada
ARSC0VL1187B9976C0	Paffendorf	True	Virginia
ARMAZNK124207805F3	Jay Allegro & Kevin Brown	True	Astoria New York
AR4TPZ21187FB4C5CB	David Cassidy	True	New York, NY
AR5U1T31187B999865	Aleandro Baldi	False	ITALY
ARFUQPY124549A47D4	Bizzy Bone Presents	True	Columbus, OH
AR7AJ3T1187B9ACF24	Dickey Betts	True	Jacksonville, FL
AR3W2UH1187FB4D57C	Accept	False	Germany
AR3I1H51187B9B1ABC	Lapsed	True	Los Angeles
AR59BTL1187B98A6EF	Bascom Lamar Lunsford	True	Mars Hill, NC
AR60J251187B99D8A5	Smash-Up Derby	True	San Francisco, CA
AR1WKQ511C8A4174F3	Slice	True	Georgia
ARN9SVG1187B9AF708	Lynn DeShazo	True	Alabama
ARTASUV1187B9A2B67	David Young	True	Kentucky
ARBZ1751187FB4D641	The Auteurs	False	London, England
ARFCOGY1187FB454B4	The Winans featuring Anita Baker	True	Toledo, OH
ARCTLHH122ECCB8A98	Misfatto	False	ITALY
AR3W89Y1187B98E7C6	Rob Jungklas	True	Boston, MA
ARTELJA1187FB364D3	Street Military	True	Houston, TX
ARB9WLX1187FB4C9F7	The Flesh Eaters	True	Los Angeles, CA
ARE5NA51187B99CD77	Black Rain feat. JoJo	True	Ohio
ARXAQ561187FB563E0	Leroy Carr	True	Nashville, TN
ARMG0R21187FB3CB69	Leslie West	True	New York, NY
ARZDYBC1187B9A3142	The Cate Brothers	True	Fayetteville, AR
ARFD0D11187FB39C1F	Pirate Robot Midget	False	Amsterdam
ARNIGSJ1187B995AEF	Singles	True	Detroit, MI
ARPKL8A11A348EFA77	Kill Paradise	True	Denver, United States
AR6ESFX1187B98A053	The Sound Of Animals Fighting	True	California
ARYHDKU1187FB3F796	Blue Magic	True	Philadelphia, PA
AR27AS81187B9B90CA	Grandmaster Melle Mel & The Furious Five featuring Mr. Ness & Cowboy	True	New York, NY
ARAJH5F1187B9A467C	The Independents	True	South Carolina
ARRZNBD122C867517B	Los Cumbieros Del Sur	True	Mexico
ARL76951187FB46769	BlackBud	False	Bradford-on-Avon, Wiltshire, Engl
ARJIJZW1187FB4D4F7	Nest	True	California - LA
ARJZPXF1187FB371A5	Paddy Kelly	True	CANADA - Ontario
ARKNTIQ1187FB56EF1	Cliff Bennett & The Rebel Rousers	False	London, England
ARVNNXD1187B9AE50D	Marvin Gaye	True	Washington DC
ARL7YU61187B9B85D7	G4 feat. Sir Cliff Richard	True	Louisiana
ARSJPBX11F4C83E245	Bavu Blakes	True	United States
ARVBP9K1187FB48254	Cancer Bats	True	Toronto, Ontario, Canada
ARRWDU31187B9B5656	Jimmy McCracklin	True	St. Louis, MO
AR5URBB1187B98DEF5	Amateur Radio Operator	True	Washington
ARWPYK71187B9949E5	Merauder	True	New York, NY
AR63DJ41187FB4056D	Mojave 3	False	England
AR0CJQS1187FB42BEB	Big Maceo Merriweather	True	Atlanta, GA
ARZV4FO1187B99017F	Chuck Roberson	True	Florida
AROHU171187FB59556	Montefiori Cocktail featuring Scanna	True	NY - Long Island
ARHYQYE11E905793F0	David Bennett Cohen	True	Mission British Columbia Canada
ARE8ZDK1187B990D72	Phil Thornton	False	Bexhill on Sea
ARSJK5D1187B9A82BC	Ham	True	CANADA - other
ARUR7LN1187FB3BDC6	Audiotransparent	False	Netherlands
AR3CYM61187FB3CC9D	Frank Crumit	True	Jackson, OH
ARXU2NP119B86679EA	Eric Steckel	True	Florida
ARBEMJG11F43A69F2D	Johnny Hammond	True	Louisville, KY
AR71ISG1187FB3C14D	Arlo Guthrie	True	Coney Island, Brooklyn, NY
AR2S3C61187B98D61F	Blind Boy Fuller_ Sonny Terry	True	Greensboro, NC
ARDFZ8B1187B988E81	Strangeways	True	Mass. - Boston
ARVVTFH122CC3B1D54	Street Pharmacy	True	CANADA - Ontario
ARNSMZT1187B98E003	Calle 13 Featuring pg-13	True	Puerto Rico
ARIPO0I1187FB507A8	Sparkadia	True	Arlington Virginia USA
AR7V6TN1187FB447F7	Gussie P	True	Florida
AR0GHWE1187FB4A31B	Eruption	False	London, England
ARZ1HFC1187B9B6189	Drupi	False	Pavia, Italy
ARCZIB51187B98E92D	David Kilgour	False	Dunedin, New Zealand
ARKN0BY1187B9B6D53	Pete Astudillo	True	Texas
ARPKX831187B995605	Manuel Carrasco	False	Isla Cristina, Spain
AR0RY1T1187FB48C9D	Deus Ex Machina	False	Singapore
ARI6CSW1187B9AF09A	Latin Assassin	True	Wisconsin
AROYI9M1187FB427EF	Alberta Adams	True	Michigan
AREWAAS1187B98C490	Robert Johnson	True	Hazlehurst, MS
AR95F611187B99CE1C	Anita Kerr	True	Memphis, TN
ARUYO111187B9A0810	Supreme Majesty	False	SWEDEN
ARL6JSN1187B9910F5	Vamp	True	Washington
ARY8VA21187B9B61C9	Deep Space Network	False	Heidelberg, Germany
ARG0WKU1187FB4FB11	Disco Inferno	False	England
AR6ZO1H1187FB4DC49	Ceca Raznatovic	False	Serbia
ARBE4ZQ1187B98A8F1	Barren Cross	True	Hollywood, California
AR50X941187FB51F51	The Matches	True	Oakland, CA
ARKP8EK1187B9B2357	Edwyn Collins	False	Edinburgh, Scotland
ARST8YZ1187FB575B0	Richie Rich	True	OAKLAND, California
ARZC1HF1187B99E222	LU	True	México.
ARIPCOC1187FB3ED18	Aghast View	True	Brazil
ARBAS9Y1187FB591B5	Jaidie	True	New York
ARJU3AJ1187FB461DC	Silbermond	False	Bautzen, Germany
AR4IWYN1187FB47DF6	Strata	True	Campbell, CA
ARXGEKM122CC3B1EB6	Dj Logilo	True	California
ARWVVRQ1187B997950	Three Bad Jacks	True	California - LA
AR9NGA81187B9B2FB6	Bolchoi	True	Staten Island New York USA
ARMFZUF11EBCD760F5	Eric Hughes Band	True	Tennessee
AR488ZF1187FB5BF1A	Michael de Jong	False	Netherlands
ARZ5I5E1187B9997B0	Lasse Stefanz	True	New York
ARR0P521187FB54D45	Bitches Sin	False	United Kingdom
ARAH4TU1187FB51D28	Bill Laswell	True	New York City (Salem, IL - originally)
ARF6XLM1187B9AB6D1	The Secret Handshake	True	Dallas, Texas
ARPKYNL1187FB3A948	Melba Montgomery	True	Iron City, TN
AR1A8KP1187B98A0E4	Skillz	False	Birmingham
ARSSACT11E2835CFAA	Gaudi + Nusrat Fateh Ali Khan	False	London   U.K.
AR2PX951187FB4DEDA	Jneiro Jarel	True	New York, NY [Brooklyn]
AR5GRYQ1187B9B32D5	En Vogue	True	California - LA
ARW3SYG1187FB37244	OLIVER	True	North Wilkesboro, NC
ARX11Z41187B9B54E5	Michelle Lewis	True	Boston, MA
ARVJ6541187B9A4C3E	Månegarm	False	Norrtälje
ARBGXIG122988F409D	Steel Rain	True	California - SF
ARGC7LW1187B9AF7BB	Branford Marsalis	True	Breaux Bridge, LA
AROAQZN1187FB3F866	Master P	True	New Orleans, LA
ARJMW6Z1187B989C3C	Asha Puthli	False	India
ARNB49G1187FB40678	Springbok Nude Girls	False	South Africa
ARSK0551187FB38199	Rodney Hayden	True	Pleasanton, TX
ART6WIH1187FB3A070	Chicago Afrobeat Project	True	Illinois
ARET0XU1187FB3B13A	Phil Manzanera	False	London, England
ARQ5FSZ1187B98AD74	Connee Boswell & Sy Oliver Orchestra	True	New Orleans, LA
AR2VYQL11C8A415B15	Ready Fire Aim	True	Brooklyn, NY
ARZORKK11E2835CDA4	Vincent Vallières	True	Sherbrooke
AR0VWV51187B996A52	Good Clean Fun	True	Washington, DC
ARYIX4R1187FB4D9FE	The Sharks	True	Mystic ,CT
ARA5Y0H1187B9A0395	Skaos	False	GERMANY
ARVU05O1187B9B53DC	Björn Skifs	False	Sweden
AR1M5KY1187FB47637	I Am Ghost	False	JP
ARY6QTP1187B99F83E	Fiftyfifty	True	Washington
ARGJ7R91187B9AF64A	T.Rex	False	London, England
ARYTRKD1187B98D60F	Marc Bolan / T. Rex	False	London, England
ARVELV91187B99BDB7	Slick Shoes	True	Orange County, CA
ARXUJ1Q1187B9A8D4A	Mindwarp	False	Carpi - MO
ARIGBDE1187B9A3B4F	Miguel Reyes	True	Illinois
ARIIXHS11F50C48D0D	Agency 1.9.9.4	True	South Carolina
ARUE33G1187FB5CF0F	Deaf Shepherd	False	Wellington
ARVBT6R1187FB44129	The Jones Girls	True	Detroit, MI
ARLE3PW1187FB3D799	Sticks & Stones	True	Florida
ARETNH11187B9ADBB8	One Way System	False	London, United Kingdom
ARJKH171187B99F45C	Pat Travers Band	True	Toronto, Canada
ARCIEQX122C84984D5	Dirty Filthy Mugs	True	United States
AR6RWL31187B9AF9F5	Del Wood	True	Nashville, TN
ARGUYRF1187B9A96BD	Shizuo	False	Berlin, Germany
ARYGV1Q1187FB3B1A7	Alicia Glenn	True	Chicago, IL
ARRLH7L1187B9B50B0	Koppen	True	NORWAY
ARKZSC51187FB40A8C	John Miles	False	Jarrow, England
ARWJS171187B98C86A	Chris De Burgh	False	Buenos Aires, Argentina
ARA1XJP1187FB3FADC	Dave Grusin / Lee Ritenour	True	Hollywood, CA
ARW5C9D1187FB414A2	Stig	False	Alta, Norway
AREVQES1187B9931CC	Bomb	True	Maryland
ARD9KPK1187B9A3875	Magical Power Mako	False	Shuzeni Izu, Japan
ARJWS6Y1187FB366F2	Susan Lynne	True	Maryland
ARYAZT61187B9B8B56	Endanger	False	GERMANY
ART7W6H1187FB4DCC9	Terror Danjah	False	Great Britain / UK
AR9J61B1187FB43243	Paul Mauriat And His Orchestra	False	Marseille, France
AR7CQVS1187B98EF75	Phil Keaggy	True	Tennessee
ARA79JA1187FB38652	Leo Kottke;Michael Gordon	True	Athens, GA
ARPGC1K1187FB4C426	Salt	True	California - LA
AR850911187FB52E85	Catalyst	True	Michigan
AROGIYL11F4C843A4F	DZ	True	Burlington, Ontario, Canada
ARQBFYO122ECCB8D1E	F.O.	True	Missouri
ARLPUXI1187B995852	Zum	True	Brooklyn New York USA
ARBW7IC1187B9908CE	Spirit of the West	True	Foxboro Massachusetts USA
