date,key,value
1928,Relax,50
1929,Relax,50
1930,Relax,50
1931,Relax,50
1932,Relax,50
1933,Relax,50
1934,Relax,50
1935,Relax,33.3333333333333
1936,Relax,50
1937,Relax,50
1938,Relax,50
1939,Relax,50
1940,Relax,50
1941,Relax,50
1942,Relax,25
1943,Relax,10
1944,Relax,16.6666666666667
1945,Relax,13.3333333333333
1946,Relax,33.3333333333333
1947,Relax,37.5
1948,Relax,30.7692307692308
1949,Relax,35.2941176470588
1950,Relax,42.8571428571429
1951,Relax,33.3333333333333
1952,Relax,23.0769230769231
1953,Relax,42.3076923076923
1954,Relax,46.4285714285714
1955,Relax,31.9148936170213
1956,Relax,32.4561403508772
1957,Relax,29.7297297297297
1958,Relax,23.1481481481481
1959,Relax,31.1258278145695
1960,Relax,37.984496124031
1961,Relax,29.7297297297297
1962,Relax,32.3529411764706
1963,Relax,21.2328767123288
1964,Relax,21.8106995884774
1965,Relax,21.6911764705882
1966,Relax,13.8888888888889
1967,Relax,12.8440366972477
1968,Relax,13.2321041214751
1969,Relax,13.8240574506284
1970,Relax,12.5386996904025
1971,Relax,10.4273504273504
1972,Relax,7.64951321279555
1973,Relax,6.62905500705219
1974,Relax,9.25666199158485
1975,Relax,7.06666666666667
1976,Relax,5.80152671755725
1977,Relax,4.55172413793103
1978,Relax,5.11182108626198
1979,Relax,4.80769230769231
1980,Relax,3.57873210633947
1981,Relax,2.71844660194175
1982,Relax,2.78776978417266
1983,Relax,2.23084384093113
1984,Relax,4.31266846361186
1985,Relax,6.12959719789842
1986,Relax,5.19005847953216
1987,Relax,8.11936155447606
1988,Relax,7.41704619388419
1989,Relax,7.78170793329965
1990,Relax,9.15236609464379
1991,Relax,8.73554048663742
1992,Relax,9.39289805269187
1993,Relax,7.18771807397069
1994,Relax,7.49398418700584
1995,Relax,7.19588806396345
1996,Relax,6.92436040044494
1997,Relax,7.18562874251497
1998,Relax,6.22210553951168
1999,Relax,6.77236693091733
2000,Relax,6.73322005097706
2001,Relax,5.09818050801657
2002,Relax,5.6140350877193
2003,Relax,6.12773675346548
2004,Relax,5.37732173009482
2005,Relax,5.23893029373082
2006,Relax,6.83876340168627
2007,Relax,4.6315570358035
2008,Relax,4.47934097052388
2009,Relax,4.42981675858388
1922,Sad,50
1923,Sad,50
1924,Sad,50
1925,Sad,50
1926,Sad,50
1927,Sad,50
1928,Sad,50
1929,Sad,50
1930,Sad,50
1931,Sad,50
1932,Sad,50
1933,Sad,50
1934,Sad,50
1935,Sad,66.6666666666667
1936,Sad,50
1937,Sad,50
1938,Sad,50
1939,Sad,50
1940,Sad,50
1941,Sad,50
1942,Sad,66.6666666666667
1943,Sad,70
1944,Sad,33.3333333333333
1945,Sad,13.3333333333333
1946,Sad,33.3333333333333
1947,Sad,37.5
1948,Sad,30.7692307692308
1949,Sad,35.2941176470588
1950,Sad,42.8571428571429
1951,Sad,33.3333333333333
1952,Sad,23.0769230769231
1953,Sad,42.3076923076923
1954,Sad,46.4285714285714
1955,Sad,31.9148936170213
1956,Sad,32.4561403508772
1957,Sad,29.7297297297297
1958,Sad,23.1481481481481
1959,Sad,31.1258278145695
1960,Sad,37.984496124031
1961,Sad,29.7297297297297
1962,Sad,32.3529411764706
1963,Sad,21.2328767123288
1964,Sad,21.8106995884774
1965,Sad,21.6911764705882
1966,Sad,13.8888888888889
1967,Sad,12.8440366972477
1968,Sad,13.2321041214751
1969,Sad,13.8240574506284
1970,Sad,12.5386996904025
1971,Sad,10.4273504273504
1972,Sad,7.64951321279555
1973,Sad,6.62905500705219
1974,Sad,9.25666199158485
1975,Sad,7.06666666666667
1976,Sad,5.80152671755725
1977,Sad,4.55172413793103
1978,Sad,5.11182108626198
1979,Sad,4.7008547008547
1980,Sad,3.37423312883436
1981,Sad,2.71844660194175
1982,Sad,2.78776978417266
1983,Sad,1.93986420950533
1984,Sad,4.22282120395328
1985,Sad,6.04203152364273
1986,Sad,5.19005847953216
1987,Sad,7.77238029146426
1988,Sad,7.15679895901106
1989,Sad,7.73117736230419
1990,Sad,8.99635985439417
1991,Sad,8.57598723573993
1992,Sad,9.31653302787323
1993,Sad,6.94347522679693
1994,Sad,7.45960811275352
1995,Sad,6.88178183894917
1996,Sad,6.72969966629588
1997,Sad,6.80457267283615
1998,Sad,6.14334470989761
1999,Sad,6.52321630804077
2000,Sad,6.62701784197111
2001,Sad,5.06215096379031
2002,Sad,5.58061821219716
2003,Sad,5.94636610959969
2004,Sad,5.37732173009482
2005,Sad,5.12932924156072
2006,Sad,6.765899864682
2007,Sad,4.6315570358035
2008,Sad,4.32488093705754
2009,Sad,4.42981675858388
