duration,artist_familiarity,artist_hotttnesss,year
313.35,0.65621,0.46197,2003.7
285.07,0.60159,0.4257,1990.6
282.73,0.61955,0.42992,1973
208.82,0.6137,0.421,1977.5
121.13,0.57894,0.43184,1995.2
355.98,0.68356,0.46907,1977
264.67,0.59595,0.41571,1994.2
261.06,0.65645,0.46419,1987.9
425.06,0.62036,0.41375,2001.2
140.24,0.60121,0.42424,2006.5
246.11,0.70051,0.49367,2002.1
187.04,0.62505,0.42753,1991.5
393.45,0.6059,0.40406,2001.7
291.26,0.68951,0.52273,2000.6
432.05,0.52841,0.40149,2007
221.42,0.67043,0.49127,1972.4
3.9963,0.53938,0.36058,1998
87.588,0.48177,0.28249,1967
933.64,0.69301,0.49867,1994
303.06,0.59797,0.40532,2001.1
160.6,0.65124,0.4616,2004.8
383.03,0.60706,0.40682,1970.5
47.377,0.41681,0.37172,2009.3
307.16,0.64638,0.42619,1992.9
451,0.67581,0.46082,1990.5
256.21,0.63067,0.44042,1998.5
336.1,0.6155,0.4299,1989
215.49,0.67551,0.50841,1967.7
231.25,0.63675,0.4426,1999.4
491.72,0.66071,0.43173,1986
240.93,0.63921,0.44937,2003.2
248.96,0.65249,0.48685,1996.6
274.6,0.68318,0.50479,1998.2
63.849,0.57181,0.40726,2009
160.32,0.596,0.42439,1992.8
343.19,0.69621,0.54372,2008.4
112.38,0.59398,0.42571,1995.3
323.44,0.66028,0.40764,1989
262.65,0.62074,0.43195,2004.2
304.68,0.63029,0.43217,1970.2
266.35,0.62175,0.44878,1990.8
202.33,0.62706,0.42309,1994.8
183.2,0.65883,0.46292,2005.9
276.27,0.6349,0.42273,1983.5
278.29,0.56765,0.41098,1991.5
1030.2,0.73121,0.54751,1982
294.2,0.64585,0.36916,1982
545.75,0.55926,0.36217,1969
361.41,0.64257,0.44948,2001.6
487.3,0.54389,0.44275,2006.8
174.48,0.55551,0.39186,1993.4
553.68,0.51854,0.35297,1997.5
128.03,0.65489,0.46127,1977.4
257.57,0.60675,0.42912,1978.9
118.01,0.66337,0.40685,1957
219.93,0.66064,0.44458,2004.8
404.01,0.63001,0.42799,2004.1
759.09,0.77349,0.50046,2009
326.27,0.61539,0.41559,2004.9
124.76,0.55488,0.38221,2002.7
426.28,0.67062,0.47937,2007
468.81,0.6584,0.45454,1976.5
678.77,0.84775,0.49421,2008
516.02,0.59493,0.42678,1987.5
164.21,0.54179,0.40087,1965.6
264.22,0.66539,0.45682,2007.3
19.417,0.60143,0.41039,1998.3
349.26,0.60182,0.44814,1991.5
221.88,0.59108,0.40196,1995.4
185.31,0.60191,0.43466,1958
196.12,0.69209,0.48142,2008.4
83.529,0.67617,0.46327,2002.2
127.69,0.59904,0.3755,1959.8
286.5,0.6048,0.44106,2004.5
161.46,0.54574,0.38876,1937.5
411.41,0.66486,0.50272,1991.8
269.59,0.66106,0.47027,1985.2
247.2,0.61392,0.42777,1979.3
432.53,0.67273,0.51218,1997.3
252.01,0.65483,0.44631,1978.5
128.75,0.61587,0.42554,2003.2
389.88,0.55336,0.35178,2005.4
341.06,0.66126,0.51292,2004.6
316.83,0.62055,0.3743,1998.7
169.49,0.63974,0.45232,1987
416.68,0.65288,0.43669,1981
100.44,0.59717,0.43206,2002
452.57,0.65966,0.46713,1979.5
242.42,0.59836,0.3884,1966
181.32,0.58419,0.40952,1996
204.06,0.6041,0.4194,1981.9
295.34,0.56549,0.42707,2008.8
269,0.63198,0.46603,2007.8
388.7,0.66029,0.43817,1986.3
264.92,0.59428,0.40904,1981.4
569,0.53908,0.32873,2000
44.596,0.5613,0.39731,1997.2
399.28,0.72881,0.57623,1999
159.71,0.63034,0.42251,1998.2
201.1,0.61346,0.41471,2007.2
297.98,0.5564,0.36611,1968
313.86,0.64771,0.49341,1982.6
347.73,0.59711,0.40204,1997
194.33,0.65608,0.50208,1974.8
480.42,0.64838,0.43103,2003
246.57,0.66054,0.46614,1993
151.21,0.58792,0.41794,2005.5
77.831,0.591,0.41889,1990.5
347.51,0.62193,0.41938,1981.8
42.388,0.58765,0.3969,2004.2
114.04,0.54309,0.38099,1981
167.95,0.54145,0.38821,1960.7
192.91,0.63773,0.46672,1983.6
1.2273,0.55876,0.39762,1981
193.06,0.55323,0.37503,1928.6
513.32,0.43791,0.32695,1997.3
25.605,0.73046,0.4459,2006
367.55,0.62509,0.478,1994.2
279.86,0.64898,0.45364,1996.8
348.54,0.69914,0.56047,2002.7
200.49,0.61255,0.40898,1965.7
227.7,0.59531,0.43399,1987.3
101.3,0.66337,0.40685,1955.5
578.25,0.51083,0.41231,2004.5
107.07,0.65284,0.45527,1999.8
175.2,0.66044,0.46851,1996.9
428.07,0.54004,0.36005,1963
45.618,0.59309,0.37623,2006.8
274.35,0.66348,0.45621,2003.2
91.565,0.68157,0.45046,1980
268.9,0.63238,0.43874,1998.3
259.56,0.77116,0.56783,2003.9
325.04,0.62229,0.42949,1992.8
654.29,0.78046,0.57427,2009
539.13,0.56371,0.38543,1998
301.01,0.63921,0.45301,1984.5
185.81,0.66904,0.48007,1971.2
133,0.62495,0.42565,2006.7
164.98,0.57338,0.41474,1980.2
738.04,0.68558,0.56398,2004
161.1,0.62859,0.45876,1975.9
226.69,0.67967,0.48305,2008.3
663.25,0.70064,0.51155,1975
355.82,0.62436,0.42814,2007
452.3,0.78268,0.57293,2007
216.02,0.59932,0.41867,2001.3
191.42,0.65714,0.45262,1969.4
297.81,0.62438,0.45004,1990.3
332.7,0.57041,0.39071,1972.2
294.97,0.64612,0.46417,1974.5
239.01,0.65161,0.45462,1998.2
133.06,0.64405,0.46122,1997.2
465.97,0.70166,0.52199,2006.8
191.38,0.62976,0.43529,2003
310.87,0.67275,0.49994,2007
141.71,0.74197,0.58318,1978.7
494.11,0.56878,0.37775,1977
278.69,0.64604,0.45084,2002
540.91,0.48914,0.36877,2007
219.76,0.58581,0.3931,1999.7
831.36,0.68465,0.58018,2004
80.826,0.58283,0.40571,2006.2
444.34,0.70235,0.57556,1985
193.6,0.62409,0.42223,1989.5
34.089,0.57797,0.36834,1993
371.87,0.63941,0.4153,1981.7
375.56,0.56728,0.40518,1970
526.51,0.84252,0.65077,1992.5
261.99,0.63118,0.45108,1996.5
176.97,0.62736,0.44176,2004.9
129.36,0.59035,0.45421,1967.7
273.68,0.6877,0.52311,1969
159.17,0.6759,0.48277,2008.2
234.24,0.57736,0.38779,1996.1
312.8,0.65568,0.48573,1997.5
126.76,0.59401,0.40172,1988.6
24.241,0.58631,0.36309,1995.5
256.36,0.69705,0.49662,2008.2
152.39,0.71286,0.5216,2008.5
344.23,0.64836,0.41789,1971.8
212.7,0.66278,0.48127,1998.9
169.85,0.60836,0.43718,2002.8
307.86,0.64293,0.42322,2008.6
393.23,0.5071,0.34541,1975
470.52,0.61661,0.46638,1988
272.79,0.6611,0.45107,2007.7
90.311,0.48758,0.41797,1991.2
499.79,0.64997,0.43998,1975
317.24,0.69346,0.49192,2007.3
297.61,0.6026,0.40977,2001.8
152.36,0.63885,0.43683,1995.2
593.51,0.52935,0.35718,1995
180.48,0.58915,0.40372,2003.7
515.53,0.61541,0.38309,2003.5
118.47,0.75314,0.51571,2006
165.13,0.67089,0.43504,2008.2
163.81,0.58704,0.41616,2001.7
93.952,0.63453,0.4315,2005.7
365.51,0.56623,0.38292,2007.9
64.317,0.59302,0.4345,1991.3
119.07,0.57679,0.42855,1985.4
211.9,0.73178,0.43277,1972
225.01,0.66125,0.46335,2004.4
234.88,0.67766,0.48763,1984.2
204.07,0.71713,0.47384,2008
484.43,0.65006,0.41586,1998.3
243.07,0.63084,0.41586,1971.8
317.18,0.66102,0.46589,1973
168.07,0.55995,0.41334,1992.4
229.98,0.68434,0.50578,2002.7
415.51,0.67951,0.49094,1997
192.18,0.60047,0.40483,1994.8
145.98,0.61373,0.42782,2007
176.06,0.68308,0.46648,2008.5
243.18,0.61504,0.43371,1989
385.14,0.60417,0.42448,1992.2
251.16,0.65849,0.45924,2004.1
410.75,0.6494,0.49517,2005.3
123.38,0.55155,0.36911,1985
304.57,0.61552,0.42524,2005.6
204.96,0.61975,0.42251,1999.2
172.58,0.5851,0.40468,1981
215.09,0.61766,0.45381,1989
396.65,0.64902,0.45125,2007.1
321.99,0.65737,0.43677,1999.2
179.65,0.59487,0.38285,1926.3
339.76,0.53116,0.36016,2000
649.8,0.81977,0.53942,1997.7
370.33,0.62001,0.43926,2006.8
154.27,0.56842,0.38761,1958.5
208.1,0.63819,0.44141,2003.7
110.34,0.59648,0.40472,2008.8
577.51,0.663,0.44956,1975
211.95,0.66376,0.46699,2003.8
144.11,0.63619,0.44198,2000.2
84.649,0.58473,0.42793,1984
208.34,0.66875,0.45654,2007.3
227.14,0.61329,0.44908,1996.5
73.543,0.63849,0.42993,1982.3
130.49,0.58443,0.44808,1963.5
324.7,0.62039,0.39066,1969
233.91,0.65339,0.44396,2004.6
218.08,0.65477,0.45005,2008.1
194.8,0.5558,0.40005,2000.6
143.04,0.66233,0.47441,1970.2
137.06,0.55267,0.41256,1965.2
9.3644,0.77376,0.48468,2003
198.93,0.62124,0.43683,2006.5
136.17,0.66665,0.48936,2003.2
147.56,0.59005,0.41752,2001.7
250.77,0.6749,0.48901,2000.3
190.95,0.63751,0.45225,2006
693.58,0.64572,0.54395,1984
242.11,0.58954,0.4127,1993.9
110.2,0.57415,0.39964,1988.5
330.31,0.64489,0.4838,1995.3
342.36,0.57526,0.42551,1998
188.05,0.58064,0.40535,2004.8
287.04,0.61576,0.46317,1997.2
48.809,0.63262,0.54303,2000.8
61.633,0.59868,0.39219,1999.6
255.26,0.57352,0.40322,1970.5
343.14,0.65623,0.44392,1990
311.69,0.64089,0.46483,1992
177.45,0.56228,0.36688,1967.9
179.35,0.51944,0.3744,1974
288.43,0.653,0.45204,1979
216.27,0.63294,0.41109,1980.3
501.05,0.61742,0.44925,1991
214.38,0.65767,0.48328,2008.7
374.64,0.56072,0.39973,1991.7
127.01,0.66652,0.45243,1995.3
211,0.72798,0.51592,1982.3
289.83,0.59869,0.43193,1969.5
189.92,0.63984,0.4417,1998.2
205.88,0.57789,0.40076,1991
346.21,0.57248,0.38723,2006.3
260.62,0.71022,0.51045,2000.1
327.36,0.65075,0.44183,1999.7
381.99,0.67569,0.45261,1994.8
302.51,0.66195,0.45289,1990
278.49,0.60437,0.37642,1977.7
171.5,0.61646,0.44903,1967
325.86,0.62322,0.40859,1983.3
197.36,0.67848,0.51341,2000.7
187.29,0.7022,0.54627,1985.4
220.16,0.43763,0.36134,1953
237.39,0.67347,0.48484,2007.2
79.242,0.67631,0.49572,1982.5
114.59,0.66267,0.47044,2007
53.877,0.65957,0.45037,2003.4
366.09,0.59894,0.42701,2001.1
192.62,0.61321,0.41302,2007.9
421.45,0.55353,0.36455,1997
210.1,0.65143,0.44402,1993.7
173.32,0.66394,0.48811,2005.1
221.71,0.63861,0.43413,1983.1
206.25,0.6513,0.48858,1961.5
197.97,0.60652,0.42287,1993
382.92,0.66587,0.46282,2008.4
261.04,0.57076,0.40451,1992.9
177.01,0.58312,0.38416,1983.7
244.46,0.60206,0.42189,1999.1
10.344,0.88169,0.5682,1993
205.44,0.59937,0.37669,1972
222.63,0.63031,0.42047,1989.9
252.06,0.61139,0.43456,1993
251.97,0.70493,0.54779,1983.2
182.07,0.43296,0.31638,1950
99.448,0.5807,0.39367,2007.8
299.11,0.60069,0.40051,1956.5
184.66,0.63077,0.42267,2008.3
185.45,0.65764,0.48076,1996.2
241.32,0.60563,0.43068,1985.5
318.88,0.68056,0.46701,1993.1
183.27,0.63507,0.45576,1988
335.72,0.67155,0.50125,2006.4
314.88,0.71636,0.48445,1988.8
286.01,0.74171,0.55703,1985
460.09,0.44922,0.41844,1972
442.5,0.66523,0.44845,2000.1
287.21,0.65031,0.45077,2007.4
193.93,0.57238,0.36253,1955
202.36,0.57031,0.42241,1988.7
251.87,0.62411,0.42239,2007.8
230.75,0.57903,0.39097,1993
608.5,0.5855,0.3961,2005
172.65,0.59107,0.42365,1989.9
229.28,0.57195,0.38694,1972.5
255.82,0.69472,0.4837,2002.4
184.35,0.67493,0.47534,2003.1
145.36,0.58386,0.39795,1989.4
169.34,0.66266,0.50255,1955
175.73,0.61018,0.44698,2000.9
431.8,0.67394,0.47442,1982.5
361.87,0.6574,0.45513,1990.5
135.78,0.58952,0.40583,1992.4
276.9,0.68744,0.44564,2007.1
532.07,0.74147,0.53378,2006.2
211.76,0.68151,0.48264,2007.4
171.09,0.60045,0.41211,1998.3
87.414,0.71694,0.462,1999.3
30.702,0.80556,0.85835,2003.3
394.68,0.53786,0.37851,1996
165.83,0.61085,0.41726,1988.4
240.56,0.67039,0.46868,2008.5
266.59,0.68385,0.45219,2003.6
198.82,0.63386,0.44505,1973
260.83,0.63609,0.42719,2007.5
188.82,0.74276,0.55451,1966
416.91,0.68086,0.4991,2002.3
308.24,0.66234,0.41665,1978.6
122.93,0.57888,0.38683,1999.2
141.88,0.53359,0.41135,1994.1
353.96,0.64547,0.42357,2002.9
142.34,0.54085,0.35951,1961.1
